Namespace(data_dirs=['/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/A', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/kcam', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P01', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P02', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P03', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P04', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P06', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P07', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P09', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P11', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P12', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P22', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P23', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P25', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P26', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P27', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P28', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P30', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P33', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P34', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P35', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P36', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P37', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/UT_ego', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d'], dataset_name='sayavakepicutego4d', filekey=False, maxcount=1000000.0, maxsize=1e+16, shards='/misc/vlgscratch4/LakeGroup/emin/')
# of images 17958947
# writing /misc/vlgscratch4/LakeGroup/emin/sayavakepicutego4d_000000.tar 0 0.0 GB 0
counter, i, fname, cls 0 3323938 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_1837/img_0250.jpeg 11094
counter, i, fname, cls 10000 6260856 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02013369.jpeg 14174
counter, i, fname, cls 20000 5826826 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01579339.jpeg 14174
counter, i, fname, cls 30000 9156654 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00355681.jpeg 14176
counter, i, fname, cls 40000 11662393 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00036870.jpeg 14179
counter, i, fname, cls 50000 4793449 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_00545962.jpeg 14174
counter, i, fname, cls 60000 3889936 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_3724/img_0148.jpeg 12981
counter, i, fname, cls 70000 11617611 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000004/img_00216719.jpeg 14178
counter, i, fname, cls 80000 4205821 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_4777/img_0133.jpeg 14034
counter, i, fname, cls 90000 6797694 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02550207.jpeg 14174
counter, i, fname, cls 100000 11473173 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000004/img_00072281.jpeg 14178
counter, i, fname, cls 110000 1217063 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S/class_1477/img_0274.jpeg 4069
counter, i, fname, cls 120000 563657 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P04/class_0032/img_0133.jpeg 1881
counter, i, fname, cls 130000 15003550 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000007/img_00398317.jpeg 14181
counter, i, fname, cls 140000 9231677 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00430704.jpeg 14176
counter, i, fname, cls 150000 11692875 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00067352.jpeg 14179
counter, i, fname, cls 160000 3153794 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_1270/img_0206.jpeg 10527
counter, i, fname, cls 170000 5501357 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01253870.jpeg 14174
